"","X","Site_Name","Site_ID","Section","Month","Type","Date","Interaction_recorded..Y.N.","SpecimenCaught","UniqueID","EntryOrder","Day","Month.1","Year","Week","SampleDate","Surveyor","HabitatType","Survey","Site","HabitatType.Survey.Site","ITMx","ITMy","WGS84.ETRS89","WGS84.ETRS89.1","PlantSpecies","FlowerVisitorSpecies","Pollinator_caught","VisitorGroup","Genus","Sex","VisitationFrequency","FlowerAbundancePerPlantSpecies","MaxFlowerSize.mm.","FloralArea","Introduced.","Visitation.Rate","FlowerAbundanceTotal","TransectTime.mins.","AreaSampledm2","Rate","Groups.of.flower.visitors.registered..All.species..Only.bees..Bees.and.hoverflies..Bees.and.flies..etc.","InsectActivityRecorded..Feeding.or.Both.Feeding.and.F.lying","Site_Section","Site_Section_Month","gradient","gradienttype","groupfactor"
"551",551,"Malahide",8,"Herbaceous","July","Urban","9.7.18","Y","N",NA,621,9,7,18,11,"9.7.18","Cian White","GS2",3,"Me","GS2Me",721946,744590,NA,NA,"Senecio.jacobaea","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",11,4000,20,80000,"",0.0001375,NA,8,264,33,"","","MalahideHerbaceous","MalahideHerbaceousJuly","Low","Urban Low","bees"
"552",552,"Malahide",8,"Herbaceous","July","Urban","9.7.18","Y","Y",20180275,622,9,7,18,11,"9.7.18","Cian White","GS2",3,"Me","GS2Me",721946,744590,NA,NA,"Senecio.jacobaea","Lassioglossum.calceatum","Y","Solitary.Bee","Lassioglossum","F",2,4000,20,80000,"",2.5e-05,NA,8,264,33,"","","MalahideHerbaceous","MalahideHerbaceousJuly","Low","Urban Low","bees"
"553",553,"Malahide",8,"Herbaceous","July","Urban","9.7.18","Y","N",NA,623,9,7,18,11,"9.7.18","Cian White","GS2",3,"Me","GS2Me",721946,744590,NA,NA,"Senecio.jacobaea","Bombus.lapidarius","O","Bumble.Bee","Bombus","F",4,4000,20,80000,"",5e-05,NA,8,264,33,"","","MalahideHerbaceous","MalahideHerbaceousJuly","Low","Urban Low","bees"
"554",554,"Malahide",8,"Herbaceous","July","Urban","9.7.18","Y","N",NA,624,9,7,18,11,"9.7.18","Cian White","GS2",3,"Me","GS2Me",721946,744590,NA,NA,"Senecio.jacobaea","Green.Veined.White","O","Lepidoptera",NA,"F",1,4000,20,80000,"",1.25e-05,NA,8,264,33,"","","MalahideHerbaceous","MalahideHerbaceousJuly","Low","Urban Low",NA
"555",555,"Malahide",8,"Herbaceous","July","Urban","9.7.18","Y","N",NA,625,9,7,18,11,"9.7.18","Cian White","GS2",3,"Me","GS2Me",721946,744590,NA,NA,"Senecio.jacobaea","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,4000,20,80000,"",1.25e-05,NA,8,264,33,"","","MalahideHerbaceous","MalahideHerbaceousJuly","Low","Urban Low","bees"
"556",556,"Malahide",8,"Herbaceous","July","Urban","9.7.18","Y","Y",20180276,626,9,7,18,11,"9.7.18","Cian White","GS2",3,"Me","GS2Me",721946,744590,NA,NA,"Senecio.jacobaea","Eristalis.arbustorum","Y","Syrphid","Eristalis","1M",2,4000,20,80000,"",2.5e-05,NA,8,264,33,"","","MalahideHerbaceous","MalahideHerbaceousJuly","Low","Urban Low",NA
"557",557,"Malahide",8,"Forest","July","Urban","9.7.18","N",NA,NA,628,9,7,18,11,"9.7.18","Cian White","WD1",3,"Me","WD1Me",721946,744590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,20,"","","MalahideForest","MalahideForestJuly","Low","Urban Low",NA
"558",558,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","N",NA,629,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Lavandula.angustifolia","Apis.mellifera","O","Honey.Bee","Apis","F",7,270,50,13500,"",0.000518519,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low","bees"
"559",559,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","N",NA,630,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Lavandula.angustifolia","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",2,270,50,13500,"",0.000148148,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low","bees"
"560",560,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","N",NA,631,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Fuchsia.magellanica","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,300,50,15000,"",6.67e-05,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low","bees"
"561",561,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","N",NA,632,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Penstemon.agg","Bombus.pascorum","O","Bumble.Bee","Bombus","F",3,260,40,10400,"",0.000288462,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low","bees"
"562",562,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","N",NA,634,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Fuchsia.magellanica","Bombus.pascorum","O","Bumble.Bee","Bombus","F",2,300,50,15000,"",0.000133333,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low","bees"
"563",563,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","N",NA,637,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Spiraea.japonica","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,80,70,5600,"",0.000178571,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low","bees"
"564",564,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","N",NA,638,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Crocosmia.xcrocosmiiflora","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,180,50,9000,"",0.000111111,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low","bees"
"565",565,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","Y",20180277,639,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Spiraea.japonica","Syritta.pipiens","Y","Syrphid","Syritta","3M",3,80,70,5600,"",0.000535714,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low",NA
"566",566,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","N",NA,642,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Salvia.officinalis","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,180,40,7200,"",0.000138889,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low","bees"
"567",567,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","N",NA,644,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Geranium.pratense","Apis.mellifera","O","Honey.Bee","Apis","F",1,15,40,600,"",0.001666667,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low","bees"
"568",568,"Malahide",8,"Dis.Medium","July","Urban","9.7.18","Y","N",NA,645,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Potentilla.reptans","Bombus.lapidarius","O","Bumble.Bee","Bombus","F",1,21,25,525,"",0.001904762,NA,21,368,17.52380952,"","","MalahideDis.Medium","MalahideDis.MediumJuly","Low","Urban Low","bees"
"569",569,"Malahide",8,"Pasture","July","Urban","9.7.18","Y","N",NA,646,9,7,18,11,"9.7.18","Cian White","GA1",3,"Me","GA1Me",721946,744590,NA,NA,"Senecio.jacobaea","Coleoptera","O","Coleoptera",NA,"F",7,550,20,11000,"",0.000636364,NA,18,408,22.66666667,"","","MalahidePasture","MalahidePastureJuly","Low","Urban Low",NA
"570",570,"Malahide",8,"Pasture","July","Urban","9.7.18","Y","N",NA,647,9,7,18,11,"9.7.18","Cian White","GA1",3,"Me","GA1Me",721946,744590,NA,NA,"Cirsium.vulgare","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,19,30,570,"",0.001754386,NA,18,408,22.66666667,"","","MalahidePasture","MalahidePastureJuly","Low","Urban Low","bees"
"571",571,"Malahide",8,"Pasture","July","Urban","9.7.18","Y","Y",20180279,648,9,7,18,11,"9.7.18","Cian White","GA1",3,"Me","GA1Me",721946,744590,NA,NA,"Senecio.jacobaea","Episyrphus.balteatus","Y","Syrphid","Episyrphus","F",2,550,20,11000,"",0.000181818,NA,18,408,22.66666667,"","","MalahidePasture","MalahidePastureJuly","Low","Urban Low",NA
"572",572,"Malahide",8,"Pasture","July","Urban","9.7.18","Y","N",NA,651,9,7,18,11,"9.7.18","Cian White","GA1",3,"Me","GA1Me",721946,744590,NA,NA,"Cirsium.vulgare","Coleoptera","O","Coleoptera",NA,"F",1,19,30,570,"",0.001754386,NA,18,408,22.66666667,"","","MalahidePasture","MalahidePastureJuly","Low","Urban Low",NA
"573",573,"Malahide",8,"Other.Roads","July","Urban","9.7.18","Y","N",NA,652,9,7,18,11,"9.7.18","Cian White","GS2",3,"Me","GS2Me",721946,744590,NA,NA,"Trifolium.repens","Apis.mellifera","O","Honey.Bee","Apis","F",1,20,13,260,"",0.003846154,NA,3,62,20.66666667,"","","MalahideOther.Roads","MalahideOther.RoadsJuly","Low","Urban Low","bees"
"574",574,"Malahide",8,"Dis.Low","July","Urban","9.7.18","N",NA,NA,653,9,7,18,11,"9.7.18","Cian White","GS2",3,"Me","GS2Me",721946,744590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,20,"","","MalahideDis.Low","MalahideDis.LowJuly","Low","Urban Low",NA
"575",575,"Malahide",8,"Arable","July","Urban","9.7.18","N",NA,NA,654,9,7,18,11,"9.7.18","Cian White","BC1",3,"Me","BC1Me",721946,744590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,428,23.77777778,"","","MalahideArable","MalahideArableJuly","Low","Urban Low",NA
"576",576,"Malahide",8,"Isolated.Structure","July","Urban","9.7.18","Y","Y",20180281,655,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Symphoricarpos.albus","Bombus.pratorum","Y","Bumble.Bee","Bombus","M",1,120,4,480,"",0.002083333,NA,3,60,20,"","","MalahideIsolated.Structure","MalahideIsolated.StructureJuly","Low","Urban Low","bees"
"577",577,"Malahide",8,"Isolated.Structure","July","Urban","9.7.18","Y","Y",20180282,656,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,"Symphoricarpos.albus","Melanostoma.scalare","Y","Syrphid","Melanostoma","M",1,120,4,480,"",0.002083333,NA,3,60,20,"","","MalahideIsolated.Structure","MalahideIsolated.StructureJuly","Low","Urban Low",NA
"578",578,"Malahide",8,"Dis.Dense","July","Urban","9.7.18","Y","N",NA,657,9,7,18,11,"9.7.18","Cian White","BC4",3,"Me","BC4Me",721946,744590,NA,NA,"Lathyrus.odoratus","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",2,120,35,4200,"",0.00047619,NA,4,102,25.5,"","","MalahideDis.Dense","MalahideDis.DenseJuly","Low","Urban Low","bees"
"579",579,"Malahide",8,"Dis.Dense","July","Urban","9.7.18","Y","N",NA,658,9,7,18,11,"9.7.18","Cian White","BC4",3,"Me","BC4Me",721946,744590,NA,NA,"Lathyrus.odoratus","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,120,35,4200,"",0.000238095,NA,4,102,25.5,"","","MalahideDis.Dense","MalahideDis.DenseJuly","Low","Urban Low","bees"
"580",580,"Malahide",8,"Dis.Dense","July","Urban","9.7.18","Y","N",NA,659,9,7,18,11,"9.7.18","Cian White","BC4",3,"Me","BC4Me",721946,744590,NA,NA,"Hypericum.androsaemum","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,130,40,5200,"",0.000192308,NA,4,102,25.5,"","","MalahideDis.Dense","MalahideDis.DenseJuly","Low","Urban Low","bees"
"581",581,"Malahide",8,"Dis.Dense","July","Urban","9.7.18","Y","N",NA,660,9,7,18,11,"9.7.18","Cian White","BC4",3,"Me","BC4Me",721946,744590,NA,NA,"Salvia.microphylla","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,160,25,4000,"",0.00025,NA,4,102,25.5,"","","MalahideDis.Dense","MalahideDis.DenseJuly","Low","Urban Low","bees"
"582",582,"Malahide",8,"Dis.Dense","July","Urban","9.7.18","Y","N",NA,661,9,7,18,11,"9.7.18","Cian White","BC4",3,"Me","BC4Me",721946,744590,NA,NA,"Salvia.microphylla","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,160,25,4000,"",0.00025,NA,4,102,25.5,"","","MalahideDis.Dense","MalahideDis.DenseJuly","Low","Urban Low","bees"
"583",583,"Malahide",8,"Industrial","July","Urban","9.7.18","N",NA,NA,662,9,7,18,11,"9.7.18","Cian White","WS3",3,"Me","WS3Me",721946,744590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,62,20.66666667,"","","MalahideIndustrial","MalahideIndustrialJuly","Low","Urban Low",NA
"584",584,"Templeogue",6,"Green.Urban","July","Urban","12.7.18","Y","Y",20180283,663,12,7,18,11,"12.7.18","Cian White","WL1",3,"Te","WL1Te",712774,728445,NA,NA,"Rubus.fruticosus","Syrphus.ribesii","Y","Syrphid","Syrphus","F",1,500,30,15000,"",6.67e-05,NA,30,262,8.733333333,"","","TempleogueGreen.Urban","TempleogueGreen.UrbanJuly","Medium","Urban Medium",NA
"585",585,"Templeogue",6,"Green.Urban","July","Urban","12.7.18","Y","Y",20180284,665,12,7,18,11,"12.7.18","Cian White","WL1",3,"Te","WL1Te",712774,728445,NA,NA,"Rubus.fruticosus","Episyrphus.balteatus","Y","Syrphid","Episyrphus","F",1,500,30,15000,"",6.67e-05,NA,30,262,8.733333333,"","","TempleogueGreen.Urban","TempleogueGreen.UrbanJuly","Medium","Urban Medium",NA
"586",586,"Templeogue",6,"Green.Urban","July","Urban","12.7.18","Y","Y",20180285,666,12,7,18,11,"12.7.18","Cian White","WL1",3,"Te","WL1Te",712774,728445,NA,NA,"Rubus.fruticosus","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",6,500,30,15000,"",4e-04,NA,30,262,8.733333333,"","","TempleogueGreen.Urban","TempleogueGreen.UrbanJuly","Medium","Urban Medium","bees"
"587",587,"Templeogue",6,"Green.Urban","July","Urban","12.7.18","Y","Y",20180287,668,12,7,18,11,"12.7.18","Cian White","WL1",3,"Te","WL1Te",712774,728445,NA,NA,"Rubus.fruticosus","Apis.mellifera","Y","Honey.Bee","Apis","F",2,500,30,15000,"",0.000133333,NA,30,262,8.733333333,"","","TempleogueGreen.Urban","TempleogueGreen.UrbanJuly","Medium","Urban Medium","bees"
"588",588,"Templeogue",6,"Green.Urban","July","Urban","12.7.18","Y","N",NA,669,12,7,18,11,"12.7.18","Cian White","WL1",3,"Te","WL1Te",712774,728445,NA,NA,"Rubus.fruticosus","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,500,30,15000,"",6.67e-05,NA,30,262,8.733333333,"","","TempleogueGreen.Urban","TempleogueGreen.UrbanJuly","Medium","Urban Medium","bees"
"589",589,"Templeogue",6,"Other.Roads","July","Urban","12.7.18","Y","Y",20180290,673,12,7,18,11,"12.7.18","Cian White","BC4",3,"Te","BC4Te",712774,728445,NA,NA,"Hebe.agg","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",1,150,30,4500,"",0.000222222,NA,11,162,14.72727273,"","","TempleogueOther.Roads","TempleogueOther.RoadsJuly","Medium","Urban Medium","bees"
"590",590,"Templeogue",6,"Other.Roads","July","Urban","12.7.18","Y","N",NA,674,12,7,18,11,"12.7.18","Cian White","BC4",3,"Te","BC4Te",712774,728445,NA,NA,"Hebe.agg","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,150,30,4500,"",0.000222222,NA,11,162,14.72727273,"","","TempleogueOther.Roads","TempleogueOther.RoadsJuly","Medium","Urban Medium","bees"
"591",591,"Templeogue",6,"Other.Roads","July","Urban","12.7.18","Y","Y",20180291,675,12,7,18,11,"12.7.18","Cian White","BC4",3,"Te","BC4Te",712774,728445,NA,NA,"Hypericum.androsaemum","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",1,410,40,16400,"",6.1e-05,NA,11,162,14.72727273,"","","TempleogueOther.Roads","TempleogueOther.RoadsJuly","Medium","Urban Medium","bees"
"592",592,"Templeogue",6,"Dis.Medium","July","Urban","12.7.18","Y","Y",20180292,676,12,7,18,11,"12.7.18","Cian White","BC4",3,"Te","BC4Te",712774,728445,NA,NA,"Hebe.agg","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",1,110,30,3300,"",0.00030303,NA,26,404,15.53846154,"","","TempleogueDis.Medium","TempleogueDis.MediumJuly","Medium","Urban Medium","bees"
"593",593,"Templeogue",6,"Dis.Medium","July","Urban","12.7.18","Y","Y",20180293,677,12,7,18,11,"12.7.18","Cian White","BC4",3,"Te","BC4Te",712774,728445,NA,NA,"Hydrangea.cult","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",2,42,NA,NA,"",NA,NA,26,404,15.53846154,"","","TempleogueDis.Medium","TempleogueDis.MediumJuly","Medium","Urban Medium","bees"
"594",594,"Templeogue",6,"Dis.Medium","July","Urban","12.7.18","Y","Y",20180294,679,12,7,18,11,"12.7.18","Cian White","BC4",3,"Te","BC4Te",712774,728445,NA,NA,"Spiraea.japonica","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",3,230,70,16100,"",0.000186335,NA,26,404,15.53846154,"","","TempleogueDis.Medium","TempleogueDis.MediumJuly","Medium","Urban Medium","bees"
"595",595,"Templeogue",6,"Dis.Medium","July","Urban","12.7.18","Y","Y",20180296,681,12,7,18,11,"12.7.18","Cian White","BC4",3,"Te","BC4Te",712774,728445,NA,NA,"Spiraea.japonica","Bombus.terrestris","Y","Bumble.Bee","Bombus","M",1,230,70,16100,"",6.21e-05,NA,26,404,15.53846154,"","","TempleogueDis.Medium","TempleogueDis.MediumJuly","Medium","Urban Medium","bees"
"596",596,"Templeogue",6,"Dis.Dense(S)","July","Urban","12.7.18","Y","N",NA,684,12,7,18,11,"12.7.18","Cian White","WS3",3,"Te","WS3Te",712774,728445,NA,NA,"Hebe.agg","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",4,500,30,15000,"",0.000266667,NA,16,248,15.5,"","","TempleogueDis.Dense(S)","TempleogueDis.Dense(S)July","Medium","Urban Medium","bees"
"597",597,"Templeogue",6,"Dis.Dense(S)","July","Urban","12.7.18","Y","N",NA,685,12,7,18,11,"12.7.18","Cian White","WS3",3,"Te","WS3Te",712774,728445,NA,NA,"Lavandula.angustifolia","Bombus.pascorum","O","Bumble.Bee","Bombus","F",2,120,50,6000,"",0.000333333,NA,16,248,15.5,"","","TempleogueDis.Dense(S)","TempleogueDis.Dense(S)July","Medium","Urban Medium","bees"
"598",598,"Templeogue",6,"Dis.Dense(L)","July","Urban","12.7.18","Y","Y",20180297,686,12,7,18,11,"12.7.18","Cian White","WS3",3,"Te","WS3Te",712774,728445,NA,NA,"Tillia.xeuropaea","Bombus.terrestris","Y","Bumble.Bee","Bombus","M",1,200,30,6000,"",0.000166667,NA,26,500,19.23076923,"","","TempleogueDis.Dense(L)","TempleogueDis.Dense(L)July","Medium","Urban Medium","bees"
"599",599,"Templeogue",6,"Dis.Dense(L)","July","Urban","12.7.18","Y","N",NA,687,12,7,18,11,"12.7.18","Cian White","WS3",3,"Te","WS3Te",712774,728445,NA,NA,"Malva.arborea","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",3,150,40,6000,"",5e-04,NA,26,500,19.23076923,"","","TempleogueDis.Dense(L)","TempleogueDis.Dense(L)July","Medium","Urban Medium","bees"
"600",600,"Templeogue",6,"Dis.Dense(L)","July","Urban","12.7.18","Y","N",NA,688,12,7,18,11,"12.7.18","Cian White","WS3",3,"Te","WS3Te",712774,728445,NA,NA,"Lavandula.angustifolia","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,160,50,8000,"",0.000125,NA,26,500,19.23076923,"","","TempleogueDis.Dense(L)","TempleogueDis.Dense(L)July","Medium","Urban Medium","bees"
"601",601,"Templeogue",6,"Dis.Dense(L)","July","Urban","12.7.18","Y","Y",20180298,689,12,7,18,11,"12.7.18","Cian White","WS3",3,"Te","WS3Te",712774,728445,NA,NA,"Hebe.agg","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",2,60,30,1800,"",0.001111111,NA,26,500,19.23076923,"","","TempleogueDis.Dense(L)","TempleogueDis.Dense(L)July","Medium","Urban Medium","bees"
"602",602,"Templeogue",6,"Dis.Dense(L)","July","Urban","12.7.18","Y","N",NA,691,12,7,18,11,"12.7.18","Cian White","WS3",3,"Te","WS3Te",712774,728445,NA,NA,"Lavandula.angustifolia","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,160,50,8000,"",0.000125,NA,26,500,19.23076923,"","","TempleogueDis.Dense(L)","TempleogueDis.Dense(L)July","Medium","Urban Medium","bees"
"603",603,"Templeogue",6,"Land.No.Use","July","Urban","12.7.18","Y","N",NA,693,12,7,18,11,"12.7.18","Cian White","GS2",3,"Te","GS2Te",712774,728445,NA,NA,"Rubus.fruticosus","Apis.mellifera","O","Honey.Bee","Apis","F",1,1000,30,30000,"",3.33e-05,NA,10,40,4,"","","TempleogueLand.No.Use","TempleogueLand.No.UseJuly","Medium","Urban Medium","bees"
"604",604,"Templeogue",6,"Land.No.Use","July","Urban","12.7.18","Y","Y",20180299,694,12,7,18,11,"12.7.18","Cian White","GS2",3,"Te","GS2Te",712774,728445,NA,NA,"Rubus.fruticosus","Bombus.lapidarius","Y","Bumble.Bee","Bombus","F",1,1000,30,30000,"",3.33e-05,NA,10,40,4,"","","TempleogueLand.No.Use","TempleogueLand.No.UseJuly","Medium","Urban Medium","bees"
"605",605,"Templeogue",6,"Land.No.Use","July","Urban","12.7.18","Y","Y",20180300,695,12,7,18,11,"12.7.18","Cian White","GS2",3,"Te","GS2Te",712774,728445,NA,NA,"Rubus.fruticosus","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",6,1000,30,30000,"",2e-04,NA,10,40,4,"","","TempleogueLand.No.Use","TempleogueLand.No.UseJuly","Medium","Urban Medium","bees"
"606",606,"Templeogue",6,"Land.No.Use","July","Urban","12.7.18","Y","Y",20180302,697,12,7,18,11,"12.7.18","Cian White","GS2",3,"Te","GS2Te",712774,728445,NA,NA,"Rubus.fruticosus","Bombus.terrestris","Y","Bumble.Bee","Bombus","M",1,1000,30,30000,"",3.33e-05,NA,10,40,4,"","","TempleogueLand.No.Use","TempleogueLand.No.UseJuly","Medium","Urban Medium","bees"
"607",607,"Templeogue",6,"Land.No.Use","July","Urban","12.7.18","Y","Y",20180303,698,12,7,18,11,"12.7.18","Cian White","GS2",3,"Te","GS2Te",712774,728445,NA,NA,"Rubus.fruticosus","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",1,1000,30,30000,"",3.33e-05,NA,10,40,4,"","","TempleogueLand.No.Use","TempleogueLand.No.UseJuly","Medium","Urban Medium","bees"
"608",608,"Templeogue",6,"Industrial","July","Urban","12.7.18","Y","Y",20180304,700,12,7,18,11,"12.7.18","Cian White","BC4",3,"Te","BC4Te",712774,728445,NA,NA,"Stachys.byzantina","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",3,125,12,1500,"",0.002,NA,8,162,20.25,"","","TempleogueIndustrial","TempleogueIndustrialJuly","Medium","Urban Medium","bees"
"609",609,"Templeogue",6,"Industrial","July","Urban","12.7.18","Y","Y",20180305,702,12,7,18,11,"12.7.18","Cian White","BC4",3,"Te","BC4Te",712774,728445,NA,NA,"Hypericum.androsaemum","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",3,500,40,20000,"",0.00015,NA,8,162,20.25,"","","TempleogueIndustrial","TempleogueIndustrialJuly","Medium","Urban Medium","bees"
"610",610,"Templeogue",6,"Sports","July","Urban","12.7.18","N",NA,NA,705,12,7,18,11,"12.7.18","Cian White","GA2",3,"Te","GA2Te",712774,728445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,222,111,"","","TempleogueSports","TempleogueSportsJuly","Medium","Urban Medium",NA
"611",611,"Goatstown",4,"Land.No.Use","July","Urban","12.7.18","Y","Y",20180307,709,12,7,18,11,"12.7.18","Cian White","GS2",3,"GT","GS2GT",718194,728649,NA,NA,"Rubus.fruticosus","Apis.mellifera","Y","Honey.Bee","Apis","F",6,500,30,15000,"",4e-04,NA,13,100,7.692307692,"","","GoatstownLand.No.Use","GoatstownLand.No.UseJuly","Medium","Urban Medium","bees"
"612",612,"Goatstown",4,"Land.No.Use","July","Urban","12.7.18","Y","Y",20180308,711,12,7,18,11,"12.7.18","Cian White","GS2",3,"GT","GS2GT",718194,728649,NA,NA,"Rubus.fruticosus","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",3,500,30,15000,"",2e-04,NA,13,100,7.692307692,"","","GoatstownLand.No.Use","GoatstownLand.No.UseJuly","Medium","Urban Medium","bees"
"613",613,"Goatstown",4,"Land.No.Use","July","Urban","12.7.18","Y","Y",20180309,713,12,7,18,11,"12.7.18","Cian White","GS2",3,"GT","GS2GT",718194,728649,NA,NA,"Rubus.fruticosus","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",3,500,30,15000,"",2e-04,NA,13,100,7.692307692,"","","GoatstownLand.No.Use","GoatstownLand.No.UseJuly","Medium","Urban Medium","bees"
"614",614,"Goatstown",4,"Land.No.Use","July","Urban","12.7.18","Y","Y",20180310,714,12,7,18,11,"12.7.18","Cian White","GS2",3,"GT","GS2GT",718194,728649,NA,NA,"Senecio.jacobaea","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",2,420,20,8400,"",0.000238095,NA,13,100,7.692307692,"","","GoatstownLand.No.Use","GoatstownLand.No.UseJuly","Medium","Urban Medium","bees"
"615",615,"Goatstown",4,"Land.No.Use","July","Urban","12.7.18","Y","Y",20180311,715,12,7,18,11,"12.7.18","Cian White","GS2",3,"GT","GS2GT",718194,728649,NA,NA,"Senecio.jacobaea","Bombus.lapidarius","Y","Bumble.Bee","Bombus","1M",3,420,20,8400,"",0.000357143,NA,13,100,7.692307692,"","","GoatstownLand.No.Use","GoatstownLand.No.UseJuly","Medium","Urban Medium","bees"
"616",616,"Goatstown",4,"Land.No.Use","July","Urban","12.7.18","Y","Y",20180416,717,12,7,18,11,"12.7.18","Cian White","GS2",3,"GT","GS2GT",718194,728649,NA,NA,"Senecio.jacobaea","Sphaerophoria(agg)","Y","Syrphid","Sphaerophoria","F",2,420,20,8400,"",0.000238095,NA,13,100,7.692307692,"","","GoatstownLand.No.Use","GoatstownLand.No.UseJuly","Medium","Urban Medium",NA
